city,state,country
Hilversum,North Holland,Netherlands
Dinxperlo,Gelderland,Netherlands
Roma,Roma,Italy
Breda,North Brabant,Netherlands
Hillegom,South Holland,Netherlands
Middelburg,Zeeland,Netherlands
Den Haag (The Hague),South Holland,Netherlands
Venlo,Limburg,Netherlands
Veere,Zeeland,Netherlands
Amsterdam,North Holland,Netherlands
Zoutelande,Zeeland,Netherlands
Terneuzen,Zeeland,Netherlands
Kapelle on Zuid Beveland in Zeeland*,Zeeland,Netherlands
Tholen,Zeeland,Netherlands
Arnhem,Gelderland,Netherlands
Koewacht,Zeeland,Netherlands
Wemeldinge,Zeeland,Netherlands
Genderen/Meeuwen,North Brabant,Netherlands
Domburg,Zeeland,Netherlands
Bemmel,Gelderland,Netherlands
Zevenbergen,North Brabant,Netherlands
Colijnsplaat,Zeeland,Netherlands
Goes,Zeeland,Netherlands
,,
Patras,Western Greece,Greece
Oss,North Brabant,Netherlands
,,Netherlands
Wolfheze,Gelderland,Netherlands
Voldorp,Limburg,Netherlands
Veghel,North Brabant,Netherlands
Maastricht,Limburg,Netherlands
Apeldoorn,Gelderland,Netherlands
Velp,Gelderland,Netherlands
Heer bij Maastricht,Limburg,Netherlands
Axel,Zeeland,Netherlands
Goes,Zeeland,Netherland
Ede,Gelderland,Netherlands
Eindhoven,North Brabant,Netherlands
Bilthoven,Utrecht,Netherlands
Woemsel bij Eindhoven,North Brabant,Netherlands
Woemsel  bij Eindhoven,North Brabant,Netherlands
Enger,North Rhine-Westphalia,Germany
St Leonards on Sea,Sussex,England
Den Haag,South Holland,Netherlands
s Hertogenbosch,North Brabant,Netherlands
Hildburghausen,Thüringen,Germany
Oirschot,North Brabant,Netherlands
Roermond,Limburg,Netherlands
Vught,North Brabant ,Netherlands
Heerlen,Limburg,Netherlands
Kirn,Rheinland-Pfalz,Germany
Haarlem Poort,North Holland,Netherlands
Oosterbeck,Gelderland,Netherlands
Covered,Covered,England
Arnheim,Gelderland,Netherlands
Braunschweig (Brunswick),Lower Saxony,Germany
Olpe,North Rhine Westphalia,Germany
Arhhem,Gelderland,Netherlands
Haarlem,North Holland,Netherlands
Souburg,Zeeland,Netherlands
Alphen bij Tilburg,North Brabant,Netherlands
Wageningen,Gelderland,Netherlands
Steenwijkerwold,Overijssel,Netherlands
Doorwerth-Renkum,Gelderland,Netherlands
Brussels,Brussels,Belgium
Covered,,Netherlands
Elden,Gelderland,Netherlands
Wijk En Aalburg,North Brabant,Netherlands
Grijpskerke,Groningen,Netherlands
Lage-Zwaluwe,North Brabant,Netherlands
Roosendaal,North Holland,Netherlands
"Serooskerke, Walcheren",Zeeland,Netherlands
Zuiddorpe,Zeeland,Netherlands
Enspijk,Gelderland,Netherlands
Bussum,North Holland,Netherlands
Kapelle bij Goes,Zeeland,Netherlands
Nijmegen,Gelderland,Netherlands
Heusden,North Brabant,Netherlands
Ludwigshafen am Rhein,Rhineland-Palatinate Land,Germany
Ontario,Ontario,Canada
Bergen op Zoom,North Brabant,Netherlands
London W1,London,England
Princenhage Breda,North Brabant,Netherlands
Dengm.*,,Netherlands
Weert,Limburg,Netherlands
Helmond,North Brabant,Netherlands
Great Neck (Lake Success),New York,United States
Tilburg,North Brabant,Netherlands
s-Hertogenbosch,North Brabant,Netherlands
Den Haag,South Hollland,Netherlands
Utrecht,Utrecht,Netherlands
Haaren,North Brabant,Netherlands
